group,bd standard time,team-1,team-2,goals of team-1,goals of team-2,yellow card of team-1,yellow card of team-2,red card of team-1,red card of team-2,fouls done by team-1,fouls done by team-2,offsides done by team-1,offsides done by team-2
A,12-Jun,Mexico,South Africa,2,0,1,2,1,2,12,11,1,1
A,12-Jun,South Korea,Czechia,2,1,1,0,0,0,9,16,2,2
B,13-Jun,Canada,Bosnia and Herzegovina,1,1,2,3,0,0,10,20,1,0
D,13-Jun,United States,Paraguay,4,1,1,5,0,0,13,17,2,1
B,14-Jun,Qatar,Switzerland,1,1,2,1,0,0,12,11,0,1
C,14-Jun,Brazil,Morocco,1,1,2,0,0,0,16,14,0,1
C,14-Jun,Haiti,Scotland,0,1,1,3,0,0,23,21,3,1
D,14-Jun,Australia,Turkey,2,0,0,1,0,0,12,4,1,3
E,14-Jun,Germany,Curacao,7,1,0,0,0,0,18,11,0,1
F,15-Jun,Netherlands,Japan,2,2,3,0,0,0,7,7,1,0
E,15-Jun,Ivory Coast,Ecuador,1,0,3,1,0,0,10,13,0,0
F,15-Jun,Sweden,Tunisia,5,1,0,1,0,0,10,8,3,6
H,15-Jun,Spain,Cape Verde,0,0,1,1,0,0,10,1,2,3
G,16-Jun,Belgium,Egypt,1,1,2,2,0,0,15,15,0,1
H,16-Jun,Saudi Arabia,Uruguay,1,1,1,0,0,0,11,6,0,1
G,16-Jun,Iran,New Zealand,2,2,1,0,0,0,10,8,2,0
I,17-Jun,France,Senegal,3,1,0,0,0,0,5,9,1,3
I,17-Jun,Iraq,Norway,1,4,1,0,0,0,12,13,1,0
J,17-Jun,Argentina,Algeria,3,0,0,0,0,0,13,8,3,1
J,17-Jun,Austria,Jordan,3,1,1,0,0,0,12,7,3,1
K,17-Jun,Portugal,Congo DR,1,1,3,1,0,0,9,10,3,2
L,18-Jun,England,Croatia,4,2,0,0,0,0,10,12,0,1
L,18-Jun,Ghana,Panama,1,0,1,2,0,0,9,11,4,1
K,18-Jun,Uzbekistan,Colombia,1,3,1,1,0,0,14,11,0,3
A,18-Jun,Czechia,South Africa,1,1,1,2,0,0,12,10,2,3
B,19-Jun,Switzerland,Bosnia and Herzegovina,4,1,1,2,0,1,7,17,3,1
B,19-Jun,Canada,Qatar,6,0,1,1,0,2,9,10,1,1
A,19-Jun,Mexico,South Korea,1,0,0,2,0,0,9,7,3,6
D,20-Jun,United States,Australia,2,0,3,4,0,0,12,16,1,0
C,20-Jun,Scotland,Morocco,0,1,1,1,0,0,11,8,1,0
C,20-Jun,Brazil,Haiti,3,0,1,3,0,0,13,15,8,4
D,20-Jun,Turkey,Paraguay,0,1,1,1,0,1,14,15,2,3
F,20-Jun,Netherlands,Sweden,5,1,0,3,0,0,9,12,3,3
